"id","Date","APPLICATION","OFFERED","ANSWERED","AVG ANS DELAY","AVG ANS DELAY SECONDS","MAX ANS DELAY","ABANDONED","DelayCallsProduct"
"2018-02-14-dba_cs_268_5311_gen_inq_script","2018/02/14","dba_cs_268_5311_gen_inq_script","423","375","00:02:44","164","00:09:47","48","61,500"
"2018-02-15-dba_cs_268_5311_gen_inq_script","2018/02/15","dba_cs_268_5311_gen_inq_script","395","369","00:00:50","50","00:07:15","26","18,450"
"2018-02-16-dba_cs_268_5311_gen_inq_script","2018/02/16","dba_cs_268_5311_gen_inq_script","369","349","00:01:21","81","00:07:14","19","28,269"
"2018-02-19-dba_cs_268_5311_gen_inq_script","2018/02/19","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2018-02-20-dba_cs_268_5311_gen_inq_script","2018/02/20","dba_cs_268_5311_gen_inq_script","558","449","00:05:24","324","00:21:48","109","145,476"
"2018-02-21-dba_cs_268_5311_gen_inq_script","2018/02/21","dba_cs_268_5311_gen_inq_script","542","353","00:04:38","278","00:21:23","135","98,134"
"2018-02-22-dba_cs_268_5311_gen_inq_script","2018/02/22","dba_cs_268_5311_gen_inq_script","453","278","00:04:32","272","00:23:44","111","75,616"
"2018-02-23-dba_cs_268_5311_gen_inq_script","2018/02/23","dba_cs_268_5311_gen_inq_script","437","383","00:01:47","107","00:15:47","48","40,981"
"2018-02-26-dba_cs_268_5311_gen_inq_script","2018/02/26","dba_cs_268_5311_gen_inq_script","513","399","00:03:28","208","00:12:27","71","82,992"
"2018-02-27-dba_cs_268_5311_gen_inq_script","2018/02/27","dba_cs_268_5311_gen_inq_script","440","326","00:03:53","233","00:14:48","68","75,958"
"2018-02-28-dba_cs_268_5311_gen_inq_script","2018/02/28","dba_cs_268_5311_gen_inq_script","500","318","00:05:01","301","00:19:54","117","95,718"
"2018-03-01-dba_cs_268_5311_gen_inq_script","2018/03/01","dba_cs_268_5311_gen_inq_script","427","385","00:01:30","90","00:21:02","25","34,650"
"2018-03-05-dba_cs_268_5311_gen_inq_script","2018/03/05","dba_cs_268_5311_gen_inq_script","508","323","00:04:22","262","00:17:24","102","84,626"
"2018-03-06-dba_cs_268_5311_gen_inq_script","2018/03/06","dba_cs_268_5311_gen_inq_script","470","345","00:03:23","203","00:22:41","80","70,035"
"2018-03-07-dba_cs_268_5311_gen_inq_script","2018/03/07","dba_cs_268_5311_gen_inq_script","503","343","00:03:46","226","00:16:33","95","77,518"
"2018-03-08-dba_cs_268_5311_gen_inq_script","2018/03/08","dba_cs_268_5311_gen_inq_script","428","377","00:01:38","98","00:13:13","40","36,946"
"2018-03-09-dba_cs_268_5311_gen_inq_script","2018/03/09","dba_cs_268_5311_gen_inq_script","379","290","00:03:03","183","00:16:55","62","53,070"
"2018-03-12-dba_cs_268_5311_gen_inq_script","2018/03/12","dba_cs_268_5311_gen_inq_script","542","473","00:01:58","118","00:10:49","55","55,814"
"2018-03-13-dba_cs_268_5311_gen_inq_script","2018/03/13","dba_cs_268_5311_gen_inq_script","459","334","00:03:31","211","00:17:45","85","70,474"
"2018-03-14-dba_cs_268_5311_gen_inq_script","2018/03/14","dba_cs_268_5311_gen_inq_script","364","269","00:04:09","249","00:25:08","61","66,981"
"2018-03-15-dba_cs_268_5311_gen_inq_script","2018/03/15","dba_cs_268_5311_gen_inq_script","327","309","00:01:23","83","00:10:21","10","25,647"
"2018-03-16-dba_cs_268_5311_gen_inq_script","2018/03/16","dba_cs_268_5311_gen_inq_script","298","249","00:02:07","127","00:19:31","34","31,623"
"2018-03-19-dba_cs_268_5311_gen_inq_script","2018/03/19","dba_cs_268_5311_gen_inq_script","512","237","00:08:28","508","00:38:31","152","120,396"
"2018-03-20-dba_cs_268_5311_gen_inq_script","2018/03/20","dba_cs_268_5311_gen_inq_script","443","280","00:04:39","279","00:26:58","87","78,120"
"2018-03-21-dba_cs_268_5311_gen_inq_script","2018/03/21","dba_cs_268_5311_gen_inq_script","444","400","00:01:34","94","00:10:30","34","37,600"
"2018-03-22-dba_cs_268_5311_gen_inq_script","2018/03/22","dba_cs_268_5311_gen_inq_script","452","304","00:05:41","341","00:24:48","81","103,664"
"2018-03-23-dba_cs_268_5311_gen_inq_script","2018/03/23","dba_cs_268_5311_gen_inq_script","366","261","00:04:41","281","00:16:19","57","73,341"
"2018-03-26-dba_cs_268_5311_gen_inq_script","2018/03/26","dba_cs_268_5311_gen_inq_script","492","355","00:03:28","208","00:18:57","80","73,840"
"2018-03-27-dba_cs_268_5311_gen_inq_script","2018/03/27","dba_cs_268_5311_gen_inq_script","436","383","00:01:51","111","00:15:43","34","42,513"
"2018-03-28-dba_cs_268_5311_gen_inq_script","2018/03/28","dba_cs_268_5311_gen_inq_script","409","293","00:04:07","247","00:21:06","68","72,371"
"2018-03-29-dba_cs_268_5311_gen_inq_script","2018/03/29","dba_cs_268_5311_gen_inq_script","443","279","00:04:46","286","00:24:59","101","79,794"
"2018-03-30-dba_cs_268_5311_gen_inq_script","2018/03/30","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2018-04-02-dba_cs_268_5311_gen_inq_script","2018/04/02","dba_cs_268_5311_gen_inq_script","464","291","00:04:26","266","00:28:00","105","77,406"
"2018-04-03-dba_cs_268_5311_gen_inq_script","2018/04/03","dba_cs_268_5311_gen_inq_script","535","372","00:04:40","280","00:17:34","97","104,160"
"2018-04-04-dba_cs_268_5311_gen_inq_script","2018/04/04","dba_cs_268_5311_gen_inq_script","520","233","00:09:30","570","00:33:45","165","132,810"
"2018-04-05-dba_cs_268_5311_gen_inq_script","2018/04/05","dba_cs_268_5311_gen_inq_script","528","158","00:11:22","682","00:27:15","197","107,756"
"2018-04-06-dba_cs_268_5311_gen_inq_script","2018/04/06","dba_cs_268_5311_gen_inq_script","448","262","00:06:12","372","00:20:51","101","97,464"
"2018-04-09-dba_cs_268_5311_gen_inq_script","2018/04/09","dba_cs_268_5311_gen_inq_script","510","392","00:04:03","243","00:13:21","73","95,256"
"2018-04-10-dba_cs_268_5311_gen_inq_script","2018/04/10","dba_cs_268_5311_gen_inq_script","427","368","00:02:22","142","00:15:07","39","52,256"
"2018-04-11-dba_cs_268_5311_gen_inq_script","2018/04/11","dba_cs_268_5311_gen_inq_script","444","231","00:08:33","513","00:19:48","112","118,503"
"2018-04-12-dba_cs_268_5311_gen_inq_script","2018/04/12","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
"2018-04-13-dba_cs_268_5311_gen_inq_script","2018/04/13","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
"2018-04-16-dba_cs_268_5311_gen_inq_script","2018/04/16","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
"2018-04-17-dba_cs_268_5311_gen_inq_script","2018/04/17","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
"2018-04-18-dba_cs_268_5311_gen_inq_script","2018/04/18","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
"2018-04-19-dba_cs_268_5311_gen_inq_script","2018/04/19","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
"2018-04-20-dba_cs_268_5311_gen_inq_script","2018/04/20","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
"2018-04-23-dba_cs_268_5311_gen_inq_script","2018/04/23","dba_cs_268_5311_gen_inq_script","414","316","00:04:02","242","00:14:23","58","76,472"
